id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
3kXoKlD84c6OmIcOLfrfEs,September,"Earth, Wind & Fire",https://p.scdn.co/mp3-preview/27390b5ac85b9dd997e8ae98a3356f0dd4a61f51?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,216022,4,
3ypMsqUwfNFMiooMLVHfkp,YMCA,Village People,https://p.scdn.co/mp3-preview/61f7881cc92dc562c15e9d42be45e4473dc2e84e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.742,0.696,6,-7.871,1,0.0735,0.19,0.0,0.151,0.84,126.432,202573,3,
3XIEWK1V9n25PS9Vb6axj5,Born to Be Alive - The Original,Patrick Hernandez,https://p.scdn.co/mp3-preview/5898691af1ed6722dfb6d16340d92a39e55e383d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468,188133,4,
7GK2KVYH8FrTC9zehmjVMd,Ring My Bell,Anita Ward,https://p.scdn.co/mp3-preview/54682eb44deee12988205f137b02d72902c68050?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.781,0.556,5,-13.067,0,0.0611,0.0661,0.0907,0.0339,0.968,125.999,491933,4,
6NSqiyQWIyZLouviktad9X,Last Night a D.J. Saved My Life,Indeep,https://p.scdn.co/mp3-preview/6086e74930f6b645741520a072cb0fa79a299038?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.968,0.345,11,-14.17,1,0.151,0.154,0.00344,0.0425,0.954,109.803,341427,4,
2IvetNzSZMH5gwjInoyr18,It's Raining Men,The Weather Girls,https://p.scdn.co/mp3-preview/adb84904d9e4e2ada1bc4974f50b8e7da31e369d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.69,0.744,1,-12.721,1,0.0613,0.034,0.598,0.453,0.56,136.918,324754,4,
23ITHe1yTMZyDEq323xClf,Cette année-là,Claude François,https://p.scdn.co/mp3-preview/ac7930c2aa905b08550ee869293aeb56ac6cce18?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.656,0.78,10,-5.812,1,0.0818,0.214,0.0,0.0419,0.922,109.783,192507,4,
4mhJ5UY7hlpFZm6RtELDm1,Kung Fu Fighting,Carl Douglas,https://p.scdn.co/mp3-preview/9986a744a86515731713d009f2d113810fae3a5d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.621,0.764,2,-8.702,1,0.0578,0.146,4.97e-05,0.161,0.745,102.288,197936,4,
6Lphpr9Z6H282Sguw0dUWa,Le Freak - Edit,CHIC,https://p.scdn.co/mp3-preview/fbeeed6e118831d3f9786c707452ac1aaa1153c6?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.832,0.553,7,-13.705,1,0.0487,0.0422,0.00356,0.249,0.89,119.825,215693,4,
5rc28C9Ym7zIAypx3QGcnv,And the Beat Goes On,The Whispers,https://p.scdn.co/mp3-preview/53cbefada3f1f8e9dffdc74d7af50091f0b00eaa?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.8,0.608,11,-9.777,0,0.111,0.0711,0.000361,0.0466,0.842,113.196,296027,4,
3qI94hINNNeb4S7xQi18lS,Blame It on the Boogie,The Jacksons,https://p.scdn.co/mp3-preview/7764eed1ae614362f9555556d0c47ddbee0e9089?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.774,0.641,1,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,214200,4,
1ot6jEe4w4hYnsOPjd3xKQ,I'm So Excited,The Pointer Sisters,https://p.scdn.co/mp3-preview/233c66ecad027c7a483ea286bf892afef40f0a02?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,230640,4,
5ERZGchTi6sysVmA913Ryx,Forget Me Nots - Remastered,Patrice Rushen,https://p.scdn.co/mp3-preview/333ca7a0e4bb6a67775184d190ab04bcfb7c58f7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.919,0.458,6,-6.963,0,0.0429,0.0797,0.0558,0.0534,0.963,113.82,284507,4,
