id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
3ikwLYbhR3cq8Wej3RXETZ,"The Good, the Bad & the Acid",Anja Schneider,https://p.scdn.co/mp3-preview/2e16d7ad07d7e285f4ba70ef92c14213dd88e6f5?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.771,0.804,10,-7.432,0,0.0653,0.0617,0.804,0.0945,0.429,137.969,349565,4,5
4VosqOFgprZKZz3EeDOdMA,Simulator,Adam Beyer,https://p.scdn.co/mp3-preview/889b28e0b62abb4d11491398ff6ef7da36665f0d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.68,0.914,2,-5.369,1,0.141,0.0385,0.806,0.386,0.136,133.029,220376,4,5
6JYWF4EtFjhwpo4rtRBlTF,High Street - Edit,Charlotte de Witte,https://p.scdn.co/mp3-preview/ee0efe043df5a773bc1572788cf980546f926317?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.793,0.853,6,-5.93,1,0.097,0.00457,0.0994,0.157,0.489,138.002,273043,4,5
7ACHeIO3dmqiR2NrD3oTzF,Liberty,Joyhauser,https://p.scdn.co/mp3-preview/5b80466891a58d2ced395eab1d7e1759959613db?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.722,0.841,11,-7.388,0,0.0555,0.0399,0.803,0.101,0.262,137.0,317084,4,5
1hXAN5JOqHDJyUFMnNxg7j,Inside Your Mind,Betoko,https://p.scdn.co/mp3-preview/130b343e0e144442a64d0a5623a32fa83819fa00?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.799,0.577,2,-9.346,1,0.0635,0.00339,0.705,0.0488,0.274,124.009,402627,4,5
3AtruWFmRKKwLi9o8k9Fzw,The Next Day ft. Jamie Irrepressible - Mind Against Remix,Röyksopp,https://p.scdn.co/mp3-preview/97c3df83f066604d2c0f7db405df91ea6ab30c03?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.667,0.683,10,-9.444,0,0.0388,0.0484,0.621,0.0888,0.0582,123.004,191439,4,5
0sa9eAhDFupUOAxtGuwQZn,Milkshake,Lexer,https://p.scdn.co/mp3-preview/3e2f072be04d798b7c6cf661ee7ea565a665acdf?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.801,0.851,11,-9.129,1,0.0516,0.00757,0.925,0.113,0.476,122.002,414227,4,5
68wKY1L1YtDqVo3asdysLM,White Darkness - Dirty Doering Remix,Melouie,https://p.scdn.co/mp3-preview/482450336c567fa5c64b8318168e190cf7795b81?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.692,0.863,5,-7.623,0,0.0373,0.0245,0.773,0.114,0.437,125.009,282131,4,5
3s4WU81N2Da2yMuafxSuPt,The Hi,Hyenah,https://p.scdn.co/mp3-preview/551148fc20ef2bf37c983f1a9008952cbdf9faf8?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.806,0.775,5,-8.212,0,0.046,0.00101,0.62,0.0661,0.433,123.009,456098,4,5
5TOlgoPRljluF62RKNcNnx,Tumda,Stephan Jolk,https://p.scdn.co/mp3-preview/1fed730a56c4fd0346e6c45a5b2fab28add6b259?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.739,0.914,8,-7.297,1,0.0435,0.00353,0.892,0.0858,0.338,121.982,192787,4,5
14wCCWEzzUsjRl8BPosbPc,Train to Utogi,SKALA,https://p.scdn.co/mp3-preview/a5aacf47376d34130a77f712d7aec5c1d66df653?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.704,0.571,7,-12.322,1,0.0413,0.000382,0.893,0.0976,0.0518,123.995,382500,4,5
3oCfybScespNWsvxK6l48B,Level One,Boris Brejcha,https://p.scdn.co/mp3-preview/1163c6c7ca9bace2f55d255a66ec5ae75281c828?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.798,0.532,1,-10.51,1,0.0716,0.00208,0.868,0.105,0.0873,125.007,470400,4,5
38tFaMPTiCosT510Ngy9V5,The Conclusion - Five Phases Project (5/5),Innellea,https://p.scdn.co/mp3-preview/7b4af005c7dadddfb9327c21c211b13341fd0d79?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.598,0.611,7,-8.236,1,0.0476,0.000982,0.776,0.0861,0.114,131.985,283086,4,5
0ipEsrE5nl48bqum2f3WTE,Remember,Thomas Lizzara,https://p.scdn.co/mp3-preview/a67d58965756d913a358c0c9e86d10e6c7cf9acf?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.711,0.764,1,-8.73,1,0.0562,0.0964,0.784,0.0513,0.187,126.017,418720,4,5
7slSQMJ8gq2hIWXbAdmNTg,Gator,Jeremy Olander,https://p.scdn.co/mp3-preview/14f610bfb25a8132f2bcb7674a50121442c2b26b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.803,0.608,4,-9.864,0,0.0674,0.00046,0.861,0.102,0.197,124.998,503073,4,5
09jgiJE4renLFOUgqxSWml,Cormoran,Jonas Saalbach,https://p.scdn.co/mp3-preview/b943296e1cb830eb4eafd4a473c87bf9321b82b6?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.765,0.928,6,-7.204,0,0.0684,0.212,0.929,0.0968,0.104,124.982,388166,4,5
4Rlbt7DrxqHqT2gSAOVbLe,Dark Sun,Hidden Empire,https://p.scdn.co/mp3-preview/9ce91cee0c42170793bbd97f7869977d9c085131?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.719,0.909,6,-8.675,0,0.0431,0.000318,0.844,0.0925,0.208,122.003,430250,4,5
54DstnlyeCz0Zb2HDtBJaq,All I Need,LP Giobbi,https://p.scdn.co/mp3-preview/422810c66538222d1358af4a689c6720f851204c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.57,0.581,0,-11.617,0,0.0396,0.0247,0.472,0.116,0.0758,124.926,215000,4,5
0FeTPIIjedEjrqUVYmF0e3,Beam,Recondite,https://p.scdn.co/mp3-preview/cf97c9211939eefd254dad44e9f1aaf4a269e897?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.806,0.441,1,-14.286,0,0.0381,0.0618,0.931,0.0987,0.739,126.996,383000,4,5
1eF7w0zUVRMHPrcI1hGZcp,Addicted To Bass,Farrago,https://p.scdn.co/mp3-preview/74158a6dde677f20ede4cb895f29f1ddee2272e6?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.703,0.951,7,-7.133,1,0.0917,0.377,0.816,0.155,0.074,147.02,351283,4,5
6BaQEqUuo6R1RISio9U5T3,Touch The Darkness,Victor Ruiz,https://p.scdn.co/mp3-preview/48d188ef8f85cf8e6edf910f2a2a49e2122569ea?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.611,0.99,7,-8.508,1,0.0602,0.00105,0.915,0.273,0.0664,135.02,453333,4,5
6JxuJ8cN23pKfp1ohahDYj,Strange,Daniel Levak,https://p.scdn.co/mp3-preview/8164f90ca750462f0167ede0bae2ade5d6f0c57d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.664,0.994,7,-7.026,1,0.0559,0.00138,0.846,0.104,0.379,132.014,360000,4,5
4prvj25xjRhb9LkXOFjGhH,Reflection,Denise Schneider,https://p.scdn.co/mp3-preview/397d61ddc05a4466f3a18319f0f1fba857b7a1ad?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.658,0.905,11,-6.596,0,0.048,0.011,0.859,0.0475,0.332,130.006,373027,4,5
3OYKiw4B4335RHKQmun6OC,Never Look Back,Third Culture (USA),https://p.scdn.co/mp3-preview/ee68a6e26662f8e3c720c859b7053df3fe7322f0?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.668,0.383,7,-12.74,0,0.0765,0.0481,0.711,0.0964,0.241,129.999,273231,4,5
1hbChDNHgkTollxDkMR9VK,Silence feat. Sarah McLachlan - Stereo Express Remix,Delerium,https://p.scdn.co/mp3-preview/424f3d227ac719231f33b5985326998b143b4a4f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.766,0.858,7,-7.118,1,0.0431,2.16e-05,0.779,0.08,0.0282,126.024,436190,4,5
02JRU5lHhypYRUKlF4mw8o,Turning Away - Parra for Cuva Remix,Monolink,https://p.scdn.co/mp3-preview/9c3d480f3f89a19a2314cd47573b4d7d9465f1c3?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.81,0.688,6,-9.082,0,0.0382,0.0844,0.52,0.0836,0.1,117.015,261538,4,5
5Vt5PmlQvb0U9HbEX0qYRi,Love And Hate,Bedouin,https://p.scdn.co/mp3-preview/9f555a49587506e21fb43a8efe20962e0073b852?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.713,0.629,3,-8.004,1,0.0333,0.000405,0.401,0.0804,0.201,121.975,267005,4,5
3FDqYT19W9RIiVwUAq2yFJ,Ain't no Sunshine - Jacob Groening Remix,K2W0,https://p.scdn.co/mp3-preview/79dd441ef8c70b58a4bcf3033d691ff08252952c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.793,0.72,8,-11.854,0,0.0455,0.155,0.94,0.115,0.0344,118.011,356823,4,5
319lRoBVgCsDtR3M3iEfS1,Funkenflug,Einmusik,https://p.scdn.co/mp3-preview/45cc07493bad0602601f7978194d5298a52b54e9?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.717,0.838,8,-6.686,0,0.0393,0.000117,0.771,0.0835,0.241,121.999,463817,4,5
