id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
5BmB3OaQyYXCqRyN8iR2Yi,SLUT ME OUT,NLE Choppa,https://p.scdn.co/mp3-preview/84ef49a1e71bdac04b7dfb1dea3a56d1ffc50357?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,123673,4,3
3zkyus0njMCL6phZmNNEeN,LET GO,Central Cee,https://p.scdn.co/mp3-preview/5391f8e7621898d3f5237e297e3fbcabe1fe3494?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.735,0.449,2,-9.933,0,0.383,0.859,0.0,0.213,0.514,146.016,175890,4,3
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,https://p.scdn.co/mp3-preview/38e12dbcba624463f1a360afd5dcceaf281b1ea5?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,189893,4,3
5gAwpwuchaCGnJLlBMGBzp,DO IT AGAIN (feat. 2Rare),NLE Choppa,https://p.scdn.co/mp3-preview/9376f0c0cde7024bb9721c53414ba4f8acf0b485?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.806,0.64,11,-7.398,0,0.317,0.0864,0.0,0.201,0.716,160.054,213206,4,3
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),Offset,https://p.scdn.co/mp3-preview/89cee86b4663ac093731d7a433491dd71e286f61?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,4,3
3LtpKP5abr2qqjunvjlX5i,Doja,Central Cee,https://p.scdn.co/mp3-preview/41105628e270a026ac9aecacd44e3373fceb9f43?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,97393,4,3
0wHFktze2PHC5jDt3B17DC,First Class,Jack Harlow,https://p.scdn.co/mp3-preview/c05a687254dbdf50a9ab4879d85e54a7594e367f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.902,0.582,5,-5.902,0,0.109,0.111,3.18e-06,0.111,0.332,107.005,173948,4,3
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,https://p.scdn.co/mp3-preview/e692ccfcdfe7010a8c1ed61de7937c7686ed072d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,212000,4,3
2xB46Bj9HZ4cr058yN4Pla,Secrets,A Boogie Wit da Hoodie,https://p.scdn.co/mp3-preview/16790c7ce12dfb06e954ac8bba38a1f4b9dfb990?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.539,0.648,4,-6.008,1,0.0619,0.118,0.0,0.362,0.403,91.066,133331,4,3
5SWnsxjhdcEDc7LJjq9UHk,Runnin,21 Savage,https://p.scdn.co/mp3-preview/743b07834a095402147d26a45f26688c77f1b6a3?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4,3
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,https://p.scdn.co/mp3-preview/115d957b81400862451425d9591dfa938da476da?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4,3
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,Polo G,https://p.scdn.co/mp3-preview/26ae09172d72ee19e5752397269942b476fa0b0f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4,3
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),24kGoldn,https://p.scdn.co/mp3-preview/c425299d5996843fc24308b896f7ce60fd262c99?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,140533,4,3
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,Future,https://p.scdn.co/mp3-preview/a5bb6f511c845bd5f971e0fca5ba45f080835ca9?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,172933,4,3
18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,Polo G,https://p.scdn.co/mp3-preview/6920a1b1e7a88385654fdb76c83b054609d16172?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,165926,4,3
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,https://p.scdn.co/mp3-preview/ad79b922940884cd57a17df2dede2c5d106d907c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4,3
0lEjxUUlKqjqXrVlIHFduD,P power (feat. Drake),Gunna,https://p.scdn.co/mp3-preview/8d1b59e1a9f98677adccd557f7389e87d6aabd4c?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,193347,4,3
527k23H0A4Q0UJN3vGs0Da,After Party,Don Toliver,https://p.scdn.co/mp3-preview/aa5c75b892ac13349826248a278f295377a59264?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,4,3
6EbVuwU7EnKeF2hdpViXCH,Die Young (feat. 347aidan),Sleepy Hallow,https://p.scdn.co/mp3-preview/181e8600b18a81326d6621d0a443364a4c1dfd49?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.808,0.582,11,-6.26,1,0.338,0.827,0.0,0.111,0.675,77.471,148817,4,3
3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,Jack Harlow,https://p.scdn.co/mp3-preview/57db620e8b7ffe5c2117a5e65331622a868a21fc?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.792,0.793,5,-6.185,0,0.0841,0.0872,0.0,0.22,0.775,123.031,156578,4,3
7Bpx2vsWfQFBACRz4h3IqH,family ties (with Kendrick Lamar),Baby Keem,https://p.scdn.co/mp3-preview/e354f034ac7940e1cb0e0036c48baf3bcb46c4e2?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14,252070,4,3
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),Gunna,https://p.scdn.co/mp3-preview/a524108f79c6d0bfb4f61c417f719a851876cf93?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267,1,3
1HvTxgCj0mTzQlEo0zLvFb,In My Head,Lil Tjay,https://p.scdn.co/mp3-preview/115fbd9a34ae8dcb45b667c7a5e0595b70e25f24?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049,135264,4,3
0LnS7aOdOdI1dNKZqdOLz4,Dua Lipa,Jack Harlow,https://p.scdn.co/mp3-preview/a67e101190a9e673e5ac1d6ee6ad47fd6c4a7d39?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,135053,4,3
4TIqzdAssasqx3DAe6cG9J,Ramen & OJ,Joyner Lucas,https://p.scdn.co/mp3-preview/0af1c66665c4fdfd11d8252f9135ea8c12d2a1a9?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.597,0.571,1,-6.205,0,0.293,0.492,0.0,0.093,0.165,106.196,218448,3,3
1WIZiOuNO3woKfdlSK2gNn,Transportin',Kodak Black,https://p.scdn.co/mp3-preview/95c1c84d3caf950d0853b56f2dc12e98dbf187d1?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.804,0.66,10,-4.86,0,0.0726,0.0319,0.0,0.103,0.257,94.053,169345,4,3
5unjCay0kUjuej5ebn4nS4,Down In Atlanta,Pharrell Williams,https://p.scdn.co/mp3-preview/1979f3e3f4ddfec23634f6858ec607aa73101960?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.851,0.819,7,-5.173,1,0.212,0.337,0.000153,0.0658,0.903,83.154,164041,3,3
2BJWxD8xKrDv8vneTvTIm9,Beat the Odds,Lil Tjay,https://p.scdn.co/mp3-preview/6301355e7d52b767259498395452bb33f17168c7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.498,0.625,8,-7.452,0,0.342,0.054,0.0,0.175,0.478,84.821,150000,4,3
