id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
6VTbbVjKOC2qWagIDbkJrC,My Baby Just Cares for Me - 2013 Remastered Version,Nina Simone,https://p.scdn.co/mp3-preview/0bac103833e0ba2e80a737f34f9372c063965895?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.746,0.243,4,-15.134,0,0.123,0.829,1.02e-06,0.0905,0.425,118.578,215747,4,6
1YQWosTIljIvxAgHWTp7KP,Take Five,The Dave Brubeck Quartet,https://p.scdn.co/mp3-preview/eb37af1ddf50ffaa177884c1a62fc669e69dd472?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,324133,5,6
0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),Miles Davis,https://p.scdn.co/mp3-preview/9cedbd49d385ca7b8e22d7ba1d000a294dd8754e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,337733,4,6
4vLYewWIvqHfKtJDk8c8tq,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,https://p.scdn.co/mp3-preview/d1a1a7b585e7bcf9becc2ab44938f6399fe90659?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.532,0.151,0,-17.266,1,0.0376,0.706,0.00136,0.116,0.211,136.759,562640,4,6
1ZXu0ib26kWfQQngREMcU2,Giant Steps - 2020 Remaster,John Coltrane,https://p.scdn.co/mp3-preview/8ba4567261c9bc0b9c2393ffbaea1753e7a04b07?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.417,0.42,0,-13.046,0,0.06,0.186,0.00111,0.185,0.517,147.143,287844,4,6
1LGqJ3nvxpVXDWpEzq4DJD,All of Me,Billie Holiday,https://p.scdn.co/mp3-preview/9e9abd033894e3e373e795742d0c63c982d786ca?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.504,0.0644,2,-14.754,0,0.0408,0.972,4.36e-06,0.174,0.403,106.994,181440,5,6
54h1RKrrFJDsNOfhwmqu9o,In the Mood - Live,Glenn Miller,https://p.scdn.co/mp3-preview/531b9d7fc05c730851c88386d9a3f5734eb21843?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.463,0.654,8,-9.72,1,0.0659,0.824,0.917,0.372,0.592,175.204,209573,4,6
0RNxWy0PC3AyH4ThH3aGK6,Mack the Knife,Louis Armstrong,https://p.scdn.co/mp3-preview/d9d85f20ecf67dd2af7248b2f78ad649e1fa6a06?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.673,0.377,0,-14.141,1,0.0697,0.586,0,0.332,0.713,88.973,201467,4,6
6MN6yRVriszuyAVlyF8ndB,Coffee Cold,Galt MacDermot,https://p.scdn.co/mp3-preview/f25e7453e3aa8f11321bd4461a93b58fe371c4e8?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.685,0.472,9,-9.691,0,0.0298,0.785,0.284,0.224,0.475,80.487,205720,4,6
6Kr25pa3pTd4no3yA0EcW1,This Is Always,Betty Carter,https://p.scdn.co/mp3-preview/c05bac3e2a9831a10e44a5b7574630302e27b589?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.417,0.0644,4,-19.687,0,0.0359,0.971,0.000134,0.126,0.138,113.713,191960,4,6
4zxd4tiXPlWMqoJltbVTbE,Stella By Starlight (feat. John Coltrane & Bill Evans),Miles Davis,https://p.scdn.co/mp3-preview/25842813169cebca898826a7a11fca2c7f08dc77?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.47,0.144,10,-12.824,1,0.0365,0.912,0.000118,0.0965,0.243,84.787,284560,4,6
5vb7At47uO0yPGfmYnAHuw,"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",Miles Davis,https://p.scdn.co/mp3-preview/c4114e23f7f1ea9ed4321113006c9c2599e5d355?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.494,0.182,10,-11.116,0,0.0443,0.79,0.00036,0.129,0.21,112.689,355333,4,6
1xicvSO4CJ2ymqYgpk7DFh,"Milestones (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)",Miles Davis,https://p.scdn.co/mp3-preview/4fe47c49e5ca36f32c0248bafed30baee5c439cc?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.553,0.546,9,-7.459,0,0.0341,0.439,0.000557,0.167,0.7,118.214,342067,4,6
2JOEPbuwVf0nafGnMSVEhH,My Favorite Things,John Coltrane,https://p.scdn.co/mp3-preview/f5c11004f9f6e5d44398a33ce77a60139fd5e9a7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.277,0.242,4,-18.442,1,0.0342,0.694,0.464,0.113,0.285,175.384,824133,3,6
3PJMsxg6rz9FOo6xNiASXz,Goodbye Pork Pie Hat,Charles Mingus,https://p.scdn.co/mp3-preview/05eba2024f734955141b525fbce773da11b50461?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,342373,3,6
2xm9ihELo6xwrRKrBbPql9,Body and Soul,Coleman Hawkins,https://p.scdn.co/mp3-preview/3e9f6ae5d786a05b6267fa4ac189d4b037d0651e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.659,0.113,10,-16.756,0,0.0569,0.976,0.88,0.179,0.738,95.063,182360,4,6
1GZD0TZJHmdQaZsucHBmWT,Besame Mucho,Dave Brubeck,https://p.scdn.co/mp3-preview/7b438aa8c906d7bc13dd3dcb09c8a3f9c1d280c1?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.517,0.273,10,-17.279,0,0.0627,0.866,0.774,0.979,0.321,63.423,354573,4,6
1CRxANVlNyN2IYjarx96gU,Visa från Utanmyra,Jan Johansson,https://p.scdn.co/mp3-preview/faed4e15d6ce914b5185efebca7d48c7733f50c2?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.618,0.0772,9,-21.306,0,0.0514,0.975,0.919,0.107,0.36,104.691,273800,4,6
4JWfPMjVEh4SusNs8V3gt5,From Gagarin's Point of View,Esbjörn Svensson Trio,https://p.scdn.co/mp3-preview/119355d96650892118b8190eaf2e7d3f27441508?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.635,0.0278,2,-21.504,0,0.0406,0.537,0.872,0.213,0.12,103.016,243333,4,6
5cAwEKmadsW4nCYe9QUvgU,Naima - Mono,John Coltrane,https://p.scdn.co/mp3-preview/3155a86c45d6c5fb1d4fb16493d1b9aa95b284a1?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.292,0.012,10,-21.638,0,0.0393,0.905,0.164,0.0813,0.133,170.106,265049,3,6
