id,track_name,artist_name,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,multiclass_label
0ELnNmc1vQFW3aPEzQ5zOg,Confetti,Charlotte Cardin,https://p.scdn.co/mp3-preview/c4436e47f46fa71e4aa1424853057ae8a1b4e2cb?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.798,0.496,3,-5.825,1,0.106,0.539,1.21e-06,0.325,0.448,111.055,184650,4,2
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,David Guetta,https://p.scdn.co/mp3-preview/a8f2e176e17e0f6298b42ef8e96118318fdd2b89?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018,4,2
0DK6lGJisrNaLkiK6cjDaw,Satellite,Bebe Rexha,https://p.scdn.co/mp3-preview/d5574553cf1c7684ccba7003e7b9e09e4af15b4f?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.673,0.848,5,-4.037,1,0.043,0.00441,0.0,0.143,0.771,115.961,208362,4,2
2R7xKsStJ9hNeZKoD9W5Nv,Up & Down,The Chainsmokers,https://p.scdn.co/mp3-preview/8d27aeed9db545f2f9c2dbcc84f83af3267b4951?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.728,0.796,1,-5.427,0,0.0584,0.01,0.000192,0.687,0.858,130.064,154349,4,2
3AAY8YicetRPlDAkibHLiS,Jaded,Miley Cyrus,https://p.scdn.co/mp3-preview/b70d6946222644d6d88d5b88fe0c8446c6240bd0?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.496,0.593,4,-5.154,1,0.0285,0.0476,0.0,0.0909,0.177,91.038,185933,4,2
28a0aMV1OKoyNiCJuNsWrY,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,https://p.scdn.co/mp3-preview/37729b038cbe5572833b08277ab71d8b3f97488a?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.584,0.576,9,-4.557,1,0.0519,0.507,0.0,0.212,0.432,170.026,165620,4,2
2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,Labrinth,https://p.scdn.co/mp3-preview/d33db796d822aa77728af0f4abb06ccd596d2920?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,160166,3,2
0poKbTUdYz7lXFd15XuHiC,"Use Me (Brutal Hearts) (feat. Sturgill Simpson, Dove Cameron & Johnny Blue Skies)",Diplo,https://p.scdn.co/mp3-preview/a7333479adf9dcf84caa70965107bf9f9f9070e5?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.687,0.872,11,-4.415,0,0.0416,0.00285,0.0256,0.156,0.768,118.057,202391,4,2
07bsRv0pcpbG4zJeLsUs1p,Eyes Closed,Ed Sheeran,https://p.scdn.co/mp3-preview/7cd2576f2d27799fe8c515c4e0fc880870a5cc88?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.777,0.526,2,-6.221,1,0.0645,0.302,0.0,0.105,0.389,107.071,194849,4,2
0CrcwVLUe8wzLUIXgjXVZJ,Kill Bill (feat. Doja Cat),SZA,https://p.scdn.co/mp3-preview/dd641231bb5f32c4e88de653b7ee727a7d9819ce?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.629,0.744,5,-6.124,0,0.0409,0.0769,0.247,0.194,0.451,89.021,175837,4,2
6jSvgAwRVrJIP0VYz5L2J8,Praising You (feat. Fatboy Slim),Rita Ora,https://p.scdn.co/mp3-preview/a31bd8f9f02e879b1324581ecc0dc90728b84d8a?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.689,0.788,8,-4.978,1,0.084,0.07,0.0,0.246,0.656,122.968,164693,4,2
3q9zwhKPHiUh8zVZ4sI5qs,I Don't Miss You,JP Saxe,https://p.scdn.co/mp3-preview/9b9e7cfa690f45e83d28a8af9483bfddb7614ab4?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.829,0.46,9,-10.327,1,0.036,0.355,0.313,0.094,0.801,110.015,217133,4,2
2mPyJgKE7vSpUoFXJps8z3,I Go Dancing (feat. Ella Henderson),Frank Walker,https://p.scdn.co/mp3-preview/e3c83869e49a6f6ca98bd2e15c3e54cc44930163?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.571,0.797,3,-3.579,1,0.0513,0.193,1.02e-06,0.0752,0.392,109.889,162545,4,2
72b7GzsnUAjsk5I56hLkjp,Flip A Switch. (feat. Coi Leray) - Remix,RAYE,https://p.scdn.co/mp3-preview/24ed69be379a8a24fc12cb9622b6e09da4e2623d?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.697,0.538,1,-5.826,0,0.0455,0.0422,2.95e-05,0.208,0.49,94.049,201360,4,2
4o1I2WL1pjyFLpshFuLCm2,Love Again - from the Motion Picture Soundtrack,Céline Dion,https://p.scdn.co/mp3-preview/16abc105bb743f3b459a96f88ce5925b1bdb3837?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.493,0.291,11,-9.278,1,0.0533,0.951,0.0,0.123,0.351,82.005,212810,4,2
63XetbuuKLMyjIaVdZtFP1,WHERE DOES YOUR SPIRIT GO?,The Kid LAROI,https://p.scdn.co/mp3-preview/2fe0ecdf9894e4de38bd276469aaf4579b67b5e7?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.363,0.373,2,-6.93,1,0.0461,0.557,0.0,0.14,0.341,81.06,201183,5,2
1JUtrCqYzJ80tcAzMbCvir,Lottery (feat. LU KALA),Latto,https://p.scdn.co/mp3-preview/780a0811cfbedc9ee55413eac49c6ff73122e624?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.792,0.874,1,-2.966,1,0.0852,0.0158,0.000365,0.071,0.934,113.969,186762,4,2
1SVOLTmC627fn0XY9ltvx2,My Stupid Heart (with Lauv),Walk Off the Earth,https://p.scdn.co/mp3-preview/835ed19a982c02507a25beb2b520b1d5b2131b6b?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.745,0.677,7,-8.316,1,0.0334,0.0945,0.0,0.204,0.666,115.093,160867,4,2
4vOoQh9MhS9pyrbvc8LyMz,Can't Tame Her,Zara Larsson,https://p.scdn.co/mp3-preview/b0ea0ae0b272441c04d31549279dc5aaadb64e7e?cid=7ed7c46c328045f7bc4fca6c7d81d3c0,0.584,0.915,6,-3.199,0,0.11,0.00686,0.000155,0.098,0.57,181.882,196940,4,2
